"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31"
"MIER2",3.9222645363,4.9107428217,5.1498708056,5.1920159729,4.5220813869,5.1153364066,4.1873253624,5.2041916345,4.9266566615,5.178078399,5.4468138612,5.551702489,5.081082147,5.6349758346,4.7015838926,4.5471281287,5.2022359191,5.909550753,5.0050687694,5.0111250331,5.3500162107,4.907162518,4.6163869844,5.2827329106,4.3017954686,3.4786011707,3.2474699892,5.5481948037,4.2721550761,5.1654216649,5.3800563478
"IFI6",8.167896255,6.4797115072,7.2478628535,7.8798856142,7.6681454367,6.9320556026,6.5768148585,7.0511550752,6.8212433281,5.7680871363,7.0793381384,5.9235268668,7.7597849608,7.1117009326,6.8836815436,6.5954241774,7.0595245953,6.5382489397,7.1532415362,6.9958531904,7.5033375981,7.676016939,6.4966096351,7.2497154752,6.0631476612,6.6119224333,6.9540465428,6.1871259325,6.9749314675,6.2451522321,7.4041112806
"NT5C2",7.5529354785,8.1598940853,7.4946353672,7.5015163537,7.5282172,8.0375158346,7.5695803704,7.4565950345,7.8627882952,8.1070497633,7.8634212575,7.6675207866,6.996215279,8.1712522922,7.1397001166,7.9035187361,7.2688004974,7.5545665839,7.0154973181,6.5730732865,7.5015163537,7.0896267305,7.8680588403,7.837686736,7.5446272345,6.8586361138,7.7667672008,7.6902781534,8.1385864869,8.2720940085,7.8157961729
"LRAP",9.3117068197,10.1196215087,9.1444537042,9.2508386346,9.1267904595,9.6245694068,9.2606496123,9.4126445044,9.2794247255,9.8528152231,9.3799167063,9.4771939152,8.7461884323,9.8338735806,9.9075505083,8.7186127797,9.3759809635,9.8444914771,9.2160492306,9.3814210114,9.0804863528,8.871451011,9.1641775955,8.8447999605,10.0103100261,9.4886189627,9.7803604379,9.6499144624,9.5925962849,10.0844419487,9.9222147987
"SLC4A2",11.7196441538,10.1788717133,11.6873408112,11.8116945223,10.827372939,10.8444336868,10.564423726,9.2623724698,10.0619211462,9.3703792033,9.7349055325,9.7081718253,9.9658310095,9.0254271514,11.1272909319,11.4520013277,10.395900689,9.4490355833,11.1648879599,10.8959046345,11.9300316827,11.8546929755,10.870626246,10.9136360483,10.2733497781,10.601886807,10.5531098655,9.230972163,10.2103299916,9.1779974831,10.1956062855
"LINS1",8.0915341671,8.1528030886,9.0973004549,9.0115258621,9.1924224544,8.4428533695,9.593504131,8.5009134927,8.7329228945,8.3524720167,9.5539043836,8.6929202662,9.36511176,8.2670845976,8.6378251595,8.771908958,9.4650527488,8.843309938,8.6935258049,8.1090854434,7.1222308449,8.074234012,8.2729326935,9.323968297,8.6542729334,8.7156473273,8.5220151649,9.4654606375,8.9761650232,8.5902468321,8.8428537032
"NEDD9",10.85827674,6.9297042797,9.7873023677,11.0517338848,9.9484268097,8.6992646254,9.7101521659,10.2330858941,9.1494110279,9.0502209878,8.385968322,8.6625243662,12.1791484736,5.5762975803,7.6822448425,11.2517532641,11.8985778357,6.4394438575,10.9376578096,9.0154752583,11.2181120297,10.6400005907,7.6608073562,8.1017043197,10.3098295041,11.4962460073,9.5453623498,8.4449716292,9.0625766659,7.5910871855,9.7713033856
"MSX1",8.1119217544,8.5440362375,9.2981216047,9.1399504783,8.7002816278,8.2125676437,8.9638282233,8.7999648195,8.8953553138,8.337320337,9.0656912708,8.5949956266,8.7800609622,8.819631218,8.1427950931,8.5726452688,8.5739924264,8.1929409022,8.7902860758,8.4319422659,8.0630800618,8.1763706494,8.8580538444,8.576041287,8.2677756344,7.9203021139,8.3408453128,9.5124338718,7.8643971037,7.6895396043,8.1083302763
"POLR2I",8.8696041715,7.7720438171,8.1460786559,8.1706852499,7.9397582334,8.0004471528,9.1435420759,8.5136139438,8.2131941153,8.3420954375,8.9194064711,8.424970394,8.1481996954,6.2083035869,8.5792474531,8.0612557218,8.5484046139,7.7896115442,8.8371568685,8.2696639062,8.6756145965,8.9632282101,8.3715107142,8.9330787258,8.2422061944,8.8056611509,9.3448085323,8.424970394,8.9472247901,8.0922860383,9.2098810249
"ASMTL",9.7959342342,8.2230437466,9.6984205037,8.9551411933,8.446630762,8.6533469018,7.9378440322,8.0677786263,7.6006181783,7.8744216878,7.6995727822,8.0218857132,8.6718451435,9.052064205,8.556771,8.6479373673,8.6226834929,8.6389601496,8.2944658553,7.6618099068,8.776180194,7.9104114601,7.6113528214,7.747660121,6.8928869736,8.497352975,8.2205810398,7.387792305,8.4423401588,8.0167944732,7.8211787848
"DGCR6",7.0451059819,6.6696655762,7.9110303555,7.3034344293,7.5068543655,7.6365403551,6.7347279435,6.9308791341,7.5922736228,6.9605724368,7.3976907712,6.5642658577,7.9682017662,7.1150223815,6.6546648916,7.9159730257,7.8754111497,7.2283454532,7.4890509042,7.1623261986,8.4197263351,7.393499145,7.5897683576,6.9488108287,6.5047954072,7.3097263013,7.2663077073,7.957227574,7.5768257218,6.4227227429,7.4591572129
"CSTF3",7.7920716119,9.645067724,9.5057088006,9.3364540235,9.9131149315,9.8052629908,10.3611710343,10.0174366072,8.8953553138,9.8186760745,10.4564938055,9.0832996467,9.0311323677,9.3115328353,9.4010679067,10.2070701742,10.7160623455,8.946531668,9.0930140932,8.482021647,9.8400699367,8.6994936306,9.21409522,10.1473775394,9.9682356117,10.800100383,10.3292621047,10.9848052161,9.5549080596,9.6414502802,10.3611710343
"ZFP106",11.8985778357,11.134137397,11.6338009745,11.3882730965,11.3211007854,11.4785751279,11.3370694819,11.2538495908,11.3321013903,11.4329104885,11.002955959,11.663861211,11.3784949976,10.9156198101,11.7504058892,11.2851329118,11.2377064359,10.9626200057,11.4355289324,11.4610148965,11.7969515381,11.6823698593,11.421630102,10.9848052161,11.1480289136,11.423034756,11.3216048732,11.0320914764,11.4028945711,11.2205216924,11.6063560284
"PPP2R2D",4.0534413407,2.8114975294,3.418074635,4.6834999479,3.3767114193,4.1945143849,2.9139863669,3.4748599568,4.8778847357,3.6066186288,3.2876611493,4.0198546391,3.182645556,4.1271103031,2.8810327568,4.8389650717,2.6889268437,3.5994120262,4.0063860399,4.1057527734,3.864661478,3.3909590203,2.6790715291,4.9288861786,3.3810173471,4.5489789017,4.0915086408,2.6939194295,3.6653388385,3.7605212006,3.8719443596
"TJP1",7.948035341,6.862645959,5.997930824,6.9866420613,7.6020223561,5.8383332306,7.3706766347,6.3215260764,4.3151031157,5.8087863652,6.8807469462,6.1848172423,6.2476498843,4.5598646864,6.611393599,7.4568063527,7.9583346311,6.4800569393,7.1955157783,6.8364193435,8.1098822975,8.1267541819,5.4064496568,7.5956787057,7.5275644316,6.8301312607,7.3886663985,6.8395899606,6.5137105495,6.2810684419,6.6149143464
"LOC645174",10.6571854202,8.9749391053,9.6103105827,10.1203667428,10.1586463545,9.6165401807,9.6968542841,10.0100498205,9.8329008323,9.5085725575,9.403130821,9.5128001098,10.337104306,9.8083414959,9.6789936292,10.0692088005,10.1507016441,9.594527793,9.8078433708,9.6653781416,10.1037377134,10.3978851596,9.3961912647,10.008440761,10.1436161544,10.2590060431,9.7854036863,9.3470703768,9.5444060329,9.358200799,10.0752084633
"FBXO44",6.4654346065,6.677149654,3.8051715824,7.0666037372,5.4563275752,7.6032947728,7.6475671657,6.8792287283,7.1192635964,6.7687872585,6.124771543,6.6974356397,2.628341499,6.6786334248,6.0029977252,5.7364551458,2.8072902507,3.5924325514,4.5011845735,6.2104364622,4.9841627876,5.3222268634,6.9268284232,2.9005152106,6.0419170914,6.3406419607,5.2497871632,3.2334517877,6.890184826,6.4227227429,6.1408390829
"CRYM",11.8152919834,11.3720324679,11.1451824913,11.6078344122,11.7545151148,12.1466233694,11.1429699933,11.2287403185,11.1535479206,11.0350697522,11.8267789738,11.4015960749,10.3132945673,11.3704679068,11.9925256151,11.2979105789,11.7545151148,11.4692576454,11.5167718824,12.1401612608,11.7486671931,11.9782577681,10.8283077642,11.6712920952,11.5951165872,12.3083868393,11.322844789,10.9932799093,11.9881700061,11.0529137175,10.4394704878
"C1orf55",4.4859014152,4.4901953764,5.6082744901,5.4377670712,4.8280691425,5.2978480536,4.2971224164,4.5814884894,3.8064990585,4.1179836291,4.5145196718,4.0198546391,4.6848511281,4.8489325693,5.3455885143,4.5749967632,4.7120606974,4.4217550088,5.1313164597,4.3247918867,5.1542175248,4.1547647776,4.8623269787,5.3643201003,5.1000658819,4.4549247165,4.2367754575,4.8210632986,3.7603093339,4.7753345751,5.003009852
"C1QTNF6",5.509437778,4.6926954375,6.2133720874,5.8527231793,5.4627066754,5.8493274259,4.8743327908,5.3738292351,5.5261528907,4.9203573695,5.8421583476,4.5115510099,6.4206401159,4.7482964613,6.1963596035,6.0350359323,6.1818570355,5.3831847024,5.3199209299,5.8380995606,6.2107695744,6.0117401384,5.0532088899,5.5027851472,5.5481948037,5.2156285817,4.9398478822,4.8124418144,5.2115638382,5.1351246172,4.9971741845
"RNY1",8.6235341483,9.3069475141,9.1904774166,8.9124594518,8.7206341629,9.4118295149,9.170984851,8.8670781578,9.1175791456,9.5657514919,9.6663615941,9.426495674,8.6529548698,9.6315485914,9.8995988321,8.8205025292,8.9166364483,9.6510145223,9.1744524705,9.3791020908,9.3410255343,9.0213413736,9.3909816751,9.7662237522,9.5918786225,9.8293561778,9.3853165477,9.1880716536,9.8995988321,9.5979214839,9.6672470697
"LOC645466",10.1226176932,10.2140375515,8.5710877569,8.7184201,9.3678732013,9.8100650833,8.9151588534,9.5687621779,9.3022714241,9.7656397222,9.0042131081,9.8406073619,8.7546760664,9.9401259769,10.0055978769,9.0731117808,9.0013300121,9.7405188004,9.3162478747,9.9029930218,9.0474055955,9.4116079094,9.1443094323,9.8017009534,9.5702161486,9.3788800617,10.0863685541,9.1340339944,9.4592148401,9.8731389469,9.5057088006
"BHMT",6.5171910172,7.7608606677,6.4925761354,7.0544923163,7.1339919039,6.6776322972,7.3865302216,7.8903786916,7.2869938973,7.2545879322,7.1061021339,7.7018648652,7.2985539279,7.7865274164,7.275128235,6.7398148087,6.0231711894,7.28439457,7.3449113932,6.5622912133,7.1222308449,6.985487691,7.138782876,6.3874873375,7.7682928908,7.2746595776,7.0506379584,7.4028777965,5.7874031479,7.007634876,5.7700577681
"CBARA1",11.2583267877,10.8213240226,10.2846153148,11.1441747393,10.8777972799,10.3299992773,10.7955994121,10.7438419019,10.9094437958,10.7777379686,10.5179350371,10.5309049089,11.4568989222,10.6643998065,11.0738344028,11.0920470408,9.8873670385,10.414925174,10.5223745257,10.4606784531,10.9176275046,11.0646759835,10.7471472186,10.6865084476,10.2828518072,10.3537060453,10.3757200099,10.0036095963,10.6643998065,10.6953482323,10.0016236664
