"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31"
"C1orf165",3.2310588456,5.2272660636,2.4818022873,3.070180836,2.3224422972,2.6773431469,2.8863916074,3.2372744691,3.1894129461,4.5484015028,3.9893712097,4.7363562707,2.5740261643,4.4936788078,5.5279841652,3.518679721,2.3506410627,3.9296165506,2.9066961414,2.5499743997,2.7015477087,3.2065851119,5.1682439291,3.0583653429,5.4649524707,3.9317985712,5.448223927,3.3318067272,3.1602721087,5.5198672483,4.3017954686
"GTF3C2",5.74401489,6.8051729626,5.6082744901,5.6371893744,6.1917318785,6.6138732106,7.4826543638,6.8157291819,6.133991443,6.2706554046,6.6471947992,6.6680486823,7.2421528667,5.9831831605,5.9951499565,5.8319142589,6.6945957448,6.7929347634,6.9017762372,5.745702736,6.3302892793,6.5059618641,5.9769603717,5.8436292395,7.5168782357,6.8310683131,6.9830632945,5.7597942769,5.8350117455,6.1902418458,6.3846162528
"PRKAG1",2.5949699982,5.3790697252,4.061871451,2.7178003854,4.9439794901,4.4901953764,4.3297034432,3.5440436602,4.1221060833,4.4170774819,3.4107004331,5.0360847184,2.9796587987,4.7561104526,4.5833712491,2.6061801512,2.6843765513,5.4521270671,3.8231808606,3.0150750883,2.3414319083,2.4378707688,3.0050266327,3.1009323447,4.2176655723,3.2995759391,5.4655161397,4.9113991731,4.0189899198,6.0171098379,4.8328912792
"COG8",4.9660728149,4.6465829336,5.0119499834,4.3067312997,3.4859569158,4.6206065293,5.3177227063,6.0069873873,4.60555839,3.531907459,4.8535190853,4.5610540487,4.8516500857,4.5598646864,5.0954232095,5.1679620849,4.2644555303,5.0954232095,5.0596144635,5.3071542336,5.6484914577,5.0401296394,4.6776536542,5.1313164597,5.8297992596,3.8885042118,4.4573924577,5.533682699,4.2766423514,4.4335204784,4.0788956442
"PIK3R2",4.3821623248,5.0163452744,5.3403194206,5.9574998354,5.3152424223,5.6951405137,4.9950782656,5.6835757479,5.4939582899,4.8068642259,4.6477269251,5.1279091126,6.0653731227,5.8441999073,4.9342631947,4.672682778,5.5781106136,6.0923752382,5.4946796788,5.5990496453,6.5371272901,4.795689692,4.2256548397,4.7133553398,4.8385171497,3.9847764663,3.877636762,5.4928328468,3.8620994977,4.1417556226,5.003009852
"BASP1",7.2506172624,7.6001677286,7.7364061696,7.1688745146,7.0033903441,7.1033071121,7.8226230593,7.5232575404,7.2809171871,7.065949192,7.6647244689,7.5467272435,8.5250237805,7.3247774772,6.7006504104,7.5612833042,8.1659131615,7.3231960743,7.6006181783,6.9386492575,6.8917805973,7.1195545596,7.5231129744,7.4936108605,7.7267205876,7.7277650809,7.3650069631,7.7624923956,7.2421528667,7.0988863236,7.4172656137
"SCD",8.9186223311,8.6041424669,5.6683064263,6.7152371215,6.4626488891,7.4588005536,7.5708927572,7.6902781534,6.6630763222,6.3031657782,5.9075971378,7.7018648652,6.4955000877,7.2634951455,7.9686428978,6.7064914139,5.9290369295,7.6962269307,7.303166258,9.3244949384,7.9291182128,7.985277058,5.9239557226,7.9235887857,8.1218503421,7.5186901197,7.5769782195,5.4570335809,6.7305240552,7.1038319866,7.0511550752
"EMR2",9.741142479,9.8010301871,10.0108921298,9.5551177411,9.5397292714,9.8338735806,9.816744106,9.7721956382,9.7142347239,9.8074119658,9.7476315431,9.6445020588,9.8344309066,9.8263745146,9.9785429577,9.6984205037,9.365666526,10.398482681,9.689786869,10.2050589285,8.9082325149,9.5886211644,9.9578893966,8.4181924367,9.9487224379,10.0202934529,9.7544584878,9.9280552083,9.866983592,10.2694709523,10.0343449703
"BCKDHB",10.6713412017,11.5476789178,11.0539208684,10.6749760536,11.1283354885,11.5269203435,11.4458802052,11.6093480657,11.921415886,11.8315825251,11.9156145828,11.5205393182,11.0517338848,11.277625562,11.6355786193,10.6788974868,10.046736708,11.6920651704,10.9821002402,11.3003512125,10.9146198207,10.4804532833,11.8052563864,11.5967068759,11.0432261321,11.0079341137,11.6030513437,12.0163484672,12.4243509323,11.6749307225,12.1106852871
"BRWD2",10.4133471264,9.6193056748,10.0136338656,10.3685671839,10.279884726,9.8666768678,10.1168249419,10.0242870225,10.3170376056,9.3964528071,10.060976658,9.9136283448,10.4294970057,9.7559557458,10.4586697216,10.4979438278,10.2680900352,9.7638288727,10.177307639,10.1196215087,10.5730215293,10.3273911835,10.2064819952,10.0480092733,9.6041805757,10.3744964823,9.7544584878,10.3286747929,10.1155722116,9.7997422522,9.9751387501
"CYB5A",3.2939158018,3.9224042003,5.154812648,5.3773147985,4.2583701162,3.8307843112,3.8835815525,4.553862741,3.500942107,4.1439179111,4.5950771497,3.7199230236,5.2718044835,4.4580927264,4.7394891456,3.7936445862,4.8902361692,4.2387956584,4.0718752915,4.1736496788,5.7680871363,4.4781952941,4.2713045593,4.9829748966,4.064667503,4.0556859186,4.3244764278,4.4780111249,3.8230444903,3.8961684806,4.0697173005
"ALS2",3.8545223904,3.7615432416,4.1642939516,3.9672923849,3.2807200836,3.05280246,3.4513768482,4.4024624353,5.2356109624,3.6244086276,3.2334517877,3.8110083296,4.4611865765,3.1332614349,4.8953432036,4.3840589656,5.1413206965,4.4346255694,4.3654893411,2.9093970096,3.396097562,4.3880506323,4.8833324345,2.7042874574,3.2698200205,3.9317985712,3.7603093339,3.700490813,5.2191893247,3.5306786752,5.1136709419
"SKI",5.534771838,4.6264600916,4.6264600916,3.3296217754,5.7502512257,4.4556998012,3.861904691,3.5688946949,3.7787982891,3.1654800152,4.1947923676,3.8340174477,5.03161212,4.1060075041,4.6959142063,3.5952428559,3.8340920747,3.4918367853,4.4818725912,4.3963983266,4.0247221814,4.8058283797,3.9168278279,4.9368311952,3.3662101096,5.1053041673,4.6926954375,3.7963561937,3.7603093339,3.7431775311,4.7196187673
"MOSC2",13.5976248372,13.5129188955,11.6429972351,11.9835553912,11.9907509498,12.8344969504,12.8685723391,13.1592714265,11.6920651704,11.3759494325,11.5935374651,13.2154175897,11.7985623472,11.9410082662,13.0351215513,11.8923380819,11.8747046161,12.8533541674,12.9034497476,13.3006737474,13.0672863682,13.1365310704,11.2952230176,13.1189314281,13.1408141282,12.6385537565,13.0388922522,10.9957111114,10.9085504536,11.6823698593,12.4781836019
"THYN1",8.5054054133,8.567197386,8.9986059915,8.3090226858,9.253887894,7.5080164895,9.0731117808,8.1333113224,8.3008705596,8.8559174269,8.7802417906,8.583003778,8.3314193127,8.8707326352,8.8246850228,8.5064861815,8.3026640746,8.7280558552,8.1869173543,8.3713004178,7.8513195339,8.198232725,8.5196803178,8.7413752927,8.1079492758,8.3545738582,8.3154014585,8.7419892544,8.6200025101,8.5946429544,8.1594036772
"PSMD9",4.5169438262,5.049585281,5.6308177732,6.0307048678,5.5979138292,6.4170390695,4.643555734,5.6235611196,5.2991617538,4.9000636728,4.2067661276,3.9354300633,5.8777781147,5.6006250947,5.0261737526,5.0710400317,4.9369550589,4.9334466208,5.0860490695,5.0158296244,5.9777859111,4.8414675763,4.9826586159,5.4110563432,4.2176655723,4.8167506299,3.6223884653,4.9208620628,4.2955362502,4.1852323919,4.1273430079
"RNF212",6.8847645231,7.0514120134,7.4126017368,7.2629776168,6.6115497268,7.6503711339,6.1812401188,6.7432347093,6.4841746812,6.6389247698,7.2019678477,7.0405239197,7.4457674124,7.4124599844,7.3509443467,6.6219504489,7.2241581474,6.505063893,7.1804177194,7.2559269662,7.355109591,7.2342657517,6.3714173829,7.8200394363,6.2371158245,6.3948758823,6.2778778198,7.1064299831,6.1287380971,6.842758715,7.1577289601
"CDR2",7.0343572505,5.9104209469,7.0150540424,6.904541631,7.3185577409,6.0313860382,7.3569700272,5.4959226519,6.2335885653,6.1836718105,7.4027357472,6.9432597405,6.9317785057,4.8001606415,6.2885067014,7.5459019976,8.4261427429,6.6690517814,6.8434156444,5.0600421039,7.5962370032,7.1446861306,7.0618730579,7.5935257121,7.3275166287,7.1446861306,7.6495501038,7.7187825418,7.5681621251,6.2269471972,7.4426716991
"CMTM7",7.274315054,7.339315751,9.604702706,8.9514335066,7.6573332125,7.4743043421,9.1563308261,7.9937736484,8.0791614443,7.6022693546,8.4590836156,7.762252355,8.394521995,6.6490188264,6.6546648916,8.683594052,6.1979868626,7.0282558727,8.7807979207,7.4691369131,8.8522120726,7.9956604668,8.3088670964,8.2112288182,9.0109649397,8.7253391811,8.0175461993,9.1762852737,8.2362329085,8.036543099,8.56320861
"TNFAIP6",5.8173158608,7.0714447196,8.969457086,9.0987806374,9.666057917,8.0125996656,9.3431338456,9.0359420744,8.9481815113,9.2543832347,9.6400292729,9.0072208016,9.3017198422,9.365389143,8.6920408066,9.545918255,9.3996740396,8.6528311103,8.4618894606,8.4334087233,9.7487921415,9.3139515493,8.9517810375,7.7345127097,8.8400803222,8.7742756695,8.5232604328,8.4851549727,9.1606734588,8.0213808497,7.7144120307
"PRIM1",4.7948915526,3.6774793826,3.8600163197,3.6789690908,4.6597456785,3.5598206894,4.109812637,3.9846083592,3.5052689232,4.0759007372,4.2754196982,3.4445028213,4.4340437991,3.1401161385,4.7015838926,3.9330597241,3.8151028283,3.2261395087,3.7975685633,3.5918533576,3.1855831285,4.170953949,3.2217524152,4.1208338763,4.3633208131,3.9613267135,4.1202446235,3.3742664788,4.6043606543,2.9282918282,4.4022292203
"CIDEA",4.9448687471,6.1656136684,3.2828698429,3.4448458192,3.0635383008,5.2588731667,4.0409007097,4.9273187523,2.7499754391,4.2460085745,2.9867208639,5.3166261782,3.6096294297,5.3015640226,4.7348601666,3.2731976756,3.6134492665,3.7474674295,3.7090738066,5.1900129811,3.864661478,5.1692430112,3.3906312458,4.8307602057,5.2272660636,4.0236214457,4.5777046034,3.1411966232,3.5325008131,4.1202446235,3.6867302018
"FLJ22662",4.4653201828,3.7532106636,4.1486065972,2.6407289202,4.2250772783,3.7362582885,3.9238936244,3.4153663423,4.3625618004,3.7930290555,4.1947923676,3.3635990862,4.2523036728,4.7682373718,2.7600572262,3.9742356364,3.5263908759,3.5429860217,3.7242011161,3.2905916464,4.5683472204,3.0179117464,4.1606430765,3.9029332719,3.2585414603,3.7788675603,3.9825035911,2.8863916074,4.0284968752,2.8306625922,2.9735142325
"MMAB",4.8786176089,7.757613942,5.8404501714,6.2633572355,6.3912350889,7.4921485584,6.4032644334,7.3044931375,7.820352984,7.7599305267,6.3996232367,7.5946516585,5.4566693289,7.7312289008,7.3235306161,4.500020465,5.3927943522,8.0011230617,6.9518858835,6.6709160099,5.4811264872,6.111036028,6.9863189216,7.0243179975,7.3825739913,6.5240005145,8.0538085153,7.0926348207,7.4809158509,7.7511780356,6.8985660918
"TMOD3",5.6114498257,5.6379851355,5.3477604709,4.4997653693,4.6827944875,5.5378150413,4.0337988217,5.705302117,4.1165407704,6.8826233863,5.0060958088,6.6128552507,5.7521957548,6.0864361712,6.3654935182,4.2385343812,4.7308329944,6.9322521411,4.1666661995,4.9458982657,5.1357064808,5.1318332246,6.3372584321,5.1176471149,5.1975307218,3.8055993619,4.7670714491,4.8789358604,4.6670652004,5.9904265225,4.8075687691
"AGAP8",5.1286637062,3.8378356325,4.1759864578,4.0612394547,4.418318482,3.6714884047,4.109812637,4.7681195025,3.8411838374,4.7484877994,5.1449263204,3.5412643807,4.1237902074,5.0323535182,4.1608355123,4.2693948767,3.486529622,3.5429860217,3.9761002315,4.5603418136,3.8764661396,5.2678430737,4.6572812508,4.2577127379,3.8185687791,5.4812705221,3.8888105398,3.2756981313,3.9761002315,3.2296225308,3.5209842047
"MLL",7.6134075931,7.8181786807,8.8297630277,9.0092664989,8.7389906995,7.6619468424,8.8269585225,8.7057408312,8.5526352267,8.2380444065,7.5762833413,8.5564316488,9.2643936942,6.8939979289,8.202024339,8.7374730571,8.259527848,8.3943022699,8.7565915651,8.1825497963,9.6016653375,8.8837489989,8.5712750043,7.6104672194,8.6590369298,7.0640627355,8.1288482581,8.5291855908,7.7279160792,8.4576163777,8.1625083638
"INF2",6.7956126214,6.9013165895,7.5004394361,7.2363472485,6.9176955725,7.8513195339,6.0631476612,7.3675060487,6.3749399644,6.9050502572,7.3899022832,6.8966101816,7.5705634089,8.0118279936,6.5558748046,5.9127172632,7.1534400334,7.0464109891,6.8954034881,7.106934245,7.8395650073,7.1762822996,6.5259767395,7.6351453887,6.0171098379,6.0236805608,6.0236805608,7.4763031282,6.304320237,6.8991816308,7.1565857161
"ZFYVE20",5.6081432716,6.0533493699,6.1760431251,6.5652833086,5.7098049328,5.9411126067,6.1045387657,6.3749399644,6.3580397393,6.1836718105,5.6331185709,6.4905646205,6.8366133589,5.38800185,6.5692789047,5.6931240255,7.1704797348,6.8782336849,6.1466973503,5.6744448173,6.0579158181,5.6384722917,6.2451522321,6.0792333725,6.4211408589,5.0033558448,5.8499264502,5.6378285416,4.9960183221,6.2331946299,6.3492890009
"ARPP19",10.9848052161,11.6417786929,9.5942430057,10.3430049595,9.9788645356,11.1824727491,9.9174977004,10.8959046345,11.3016031854,10.6820693176,10.1820145893,10.6140580209,9.9658310095,11.5006039358,11.3677782919,10.1797429239,9.4810072361,10.5947059748,10.3286747929,11.1890530755,10.3065455349,10.8461824632,10.4226184643,11.0939514894,9.6302192575,10.2760071389,11.0603045149,10.0695428225,11.3599069047,10.7185371081,10.1083164914
"NDUFA11",9.3431338456,10.0752084633,8.164332706,8.2122314235,8.729018081,9.1161311217,9.6008343393,8.9034316197,8.9199047641,9.1227930484,9.009839383,9.2940418812,7.7374899364,9.9255215023,9.6493472805,8.4332427179,8.0521222953,8.9042767895,8.4361034908,9.0804863528,8.854252351,8.7600785892,8.385968322,9.6113519097,9.3176006012,8.8618712722,9.1948753712,9.3017198422,8.9529940915,9.3357790889,8.4614112177
"RPS29",3.7116429596,4.7499998523,4.1486065972,4.2811859338,4.5532615295,4.2939653138,4.6627604479,2.6945426782,4.0632039702,5.2374782753,4.8430026303,2.9722104136,4.7475381051,4.1427920912,2.9764994698,3.9203211535,4.8948953857,4.6597456785,3.9052802237,4.3182120278,4.6397063333,3.0378452277,3.6944452329,4.8438001562,4.4914921075,4.1969758649,3.2261395087,4.2460085745,3.661507439,4.174889452,3.573907953
"CMAS",7.8765882043,6.5365012648,7.0221178941,7.3154620078,7.5579334173,5.3806661887,6.8081985441,6.4560429955,6.9930041885,6.2716347903,7.4551353862,6.704620127,8.3912613353,5.1491479341,6.9747789711,8.1206618736,8.7308635277,6.7726357255,6.9935409838,6.8757110137,7.2323339784,7.8038570001,6.9705417176,7.4350546617,5.979811137,7.4119652958,7.401367082,6.9015464133,7.9220636762,6.1967534417,7.0267166004
"PASK",6.039185533,7.4269245208,7.3080047391,7.4753812975,7.0033903441,7.4033693659,7.8688612451,7.7953322869,7.978833805,7.228165714,8.0881002701,6.9989224095,5.9102178107,7.5619340934,6.7085015758,6.5637278593,5.0360847184,7.6622929382,6.9617924878,6.7288874996,6.7068388681,5.8130207741,7.846027835,7.5397105722,7.763259521,7.1964669496,7.3235306161,8.2190336097,7.5592995154,7.1937512896,7.5609210455
"ZNF580",5.9185357611,5.9187771648,7.4184719484,8.6725930732,5.472237556,6.8294545194,7.3246181705,5.1781744778,6.0197909188,5.7109673858,6.6340544942,5.7385952602,9.7848347776,5.3971357278,6.937430948,8.3177576987,9.905325385,4.4854789456,7.360945261,4.6230108738,5.8176119919,4.6095309724,6.4367029404,7.8328003648,5.0896306483,7.4172656137,6.6130399154,8.2890744292,7.0425926025,6.7322872662,6.6850034624
"WDR40B",9.1627336994,8.6397967463,9.2725730636,9.3822658679,10.3481273448,7.2756733392,9.0932615774,7.4477070872,8.3105728819,8.7696650675,9.0057080522,8.8798890382,10.7271909255,8.900078017,6.8475371821,10.8737796622,10.662568709,8.1089020886,9.6414502802,8.3693073337,9.4780701872,9.5832528248,8.0430811586,8.9996940494,9.0540969647,9.9395787037,9.6025856412,8.2997723254,9.513447606,8.4730131391,9.1119294041
"CALCOCO1",7.3612401073,8.9124594518,7.8032145112,7.7787147791,7.7169325266,8.1385864869,8.8633133073,8.3933956887,8.5433635857,8.4562558233,8.5484046139,8.8679352596,8.7125771993,9.2857343399,7.5719111068,7.897674699,7.5776264694,8.3249923521,7.9556832333,8.3792598622,7.838625784,7.732147395,7.7785704036,8.0684500205,8.4447913506,7.903280679,8.1662966713,8.2444436601,8.3058669085,8.6405718925,8.1061396883
"C8orf76",2.8709640414,3.1889663328,4.3313633062,4.676521895,3.6145009685,3.5017526607,5.6898951555,3.1197623392,3.5398877664,3.567900836,4.9766495444,2.9665343927,8.47945907,4.0404034941,3.0969200701,5.6837188349,5.8302039664,2.9009616354,3.8113196633,2.6275628383,3.7085656304,4.5304320446,3.0808245499,4.4129038122,2.9897430265,6.8954034881,2.8183922415,4.8707633317,4.7270785926,4.2766423514,3.3356707685
"CS",4.3412819105,3.3440455952,4.9660728149,4.5172279003,3.8448198087,4.9575894712,3.8548393301,4.814942524,3.7506261704,3.5045830491,3.5050084748,3.9710746947,4.9355798468,4.6707676017,4.916789892,4.6182505512,5.0251803602,3.9702836091,5.1448446811,3.4341992781,4.7945886258,4.8473131228,4.322314516,4.5279920831,3.199237829,3.8302528926,2.8543016185,4.9925433779,3.3800484075,3.3004546387,3.6086033954
"ALG3",10.3120341335,10.0141878415,10.7739427515,10.4251222987,9.514816116,10.0190153978,10.3089441974,9.2479462502,8.9564509479,9.5624848305,8.8735898021,9.4799853496,9.186869048,8.3616422375,9.717655789,9.9367994799,8.282592689,9.6103105827,9.9930348544,9.698915532,10.4287448419,10.1203667428,9.8433612054,9.2415307963,9.373744419,9.6294372591,9.2613960332,9.3880142974,9.2701144307,9.3635172294,9.1167358282
"NXN",4.9155428429,5.1682439291,4.6128053273,4.5400801527,3.6296423379,5.2754638219,4.5257537603,4.8002892687,4.6623185985,5.5414463475,5.6778552962,4.5887415688,4.9172566775,5.5647317099,5.6854318044,3.4876201784,4.9115227666,4.9334466208,3.8995367738,4.8724613336,4.3111199344,4.7674916114,4.7383468178,4.759746657,4.5086823916,4.2848654803,4.9872585233,4.9630637561,4.4403238993,5.2069897578,5.1495609323
"INO80D",3.8843469748,2.9071939335,5.909388306,6.2962292716,5.7916750924,6.2248466851,4.8148745333,6.1894089297,5.1983017456,4.4645921176,3.6481079348,4.4520022458,5.9743097819,5.8441999073,3.8832637339,4.9847248026,4.240933349,3.9019259115,3.1894129461,4.7670714491,4.2639586087,4.8893225406,4.6609102834,3.6476833285,3.7882670478,4.3616622213,4.5777046034,4.4622328985,4.9960183221,3.1270949163,3.6011564253
"OR2T6",10.1339781099,10.3561398713,11.0124275698,11.6699723483,11.5297243534,10.0894867532,11.6823698593,10.890633981,11.1696182357,10.9636807061,12.2914020359,10.564748138,12.8053290172,10.0978984221,10.8641530049,12.2723389706,12.7282803571,10.8523778311,11.2264225257,10.4652109899,10.9298412759,10.3113424896,11.4502475312,11.481382333,11.3492280539,11.1806176985,11.2979105789,12.4289077767,11.70471521,10.6576563091,11.0502345553
"LOC641939",9.3477587637,9.190281951,8.4334087233,8.4780277506,8.4994685783,9.1549173922,8.5138565843,8.4951338482,8.4664136779,9.0304224545,9.52332678,8.9197616077,8.0609188239,9.702076932,9.0076364472,9.0207142824,8.5873975467,9.1661729447,8.6735927722,8.5858766941,7.344659511,8.3790925131,8.598476586,9.9806513938,9.2264207339,9.9478838331,9.2203460311,8.7265635775,9.8884400355,9.2848541667,9.2277456695
"SLC37A1",10.6636288993,7.6809673073,10.7620506322,10.883439841,10.7017468206,9.3125025697,9.1618044458,8.9735666847,9.4949508289,8.3141079782,9.4650527488,8.8462837314,11.2072731327,7.0957979321,9.3825087796,10.9077435324,11.3055809953,8.423485604,10.0395173511,9.3301491407,10.4599778599,10.4303115842,9.9421909787,9.3819471609,8.9719644208,9.7656397222,9.3786580326,9.1419618784,9.4103791968,8.1532761522,9.432743048
"PSMA2",3.4934107316,3.9629403109,3.7851655235,3.9438779778,5.0834084439,5.5202364767,3.8423392362,3.6062832619,4.6238489787,4.7484877994,4.8603406221,2.6465741198,5.4660139882,3.8045426215,3.7324086134,5.6655120022,5.1087084434,4.0411594771,4.8102203084,4.0767412876,3.7129879457,2.5137822569,4.4720969303,4.4622328985,4.5743009117,5.1976611541,4.7602348263,4.782415753,4.6206065293,4.5493591445,3.7783931552
"FLJ77644",3.8161855281,3.9319337948,3.3106070858,3.6714884047,4.2095612391,3.7201203835,3.4388303912,4.468287181,4.7883014908,5.5817677878,3.9787403398,2.730282371,4.3508233413,4.7323529873,3.9120263989,4.4522009725,3.6845416336,3.8347395137,2.7637722372,3.4635816645,3.5142855764,3.2494589215,3.7377326879,3.3156284795,4.6521678423,4.0430678166,3.9154093522,3.7876117178,4.3643163715,5.1575434279,4.0063860399
"SOS1",7.8389416771,6.7380311161,7.850838277,7.8208379133,6.8095118004,6.853660456,6.872609367,7.7032142141,7.6560288975,7.0749643542,5.4404394145,7.3178011331,4.7951219586,7.3503162251,7.0916467894,6.7446205855,5.0956040344,7.630762908,7.5710670468,7.6854552433,7.9401386733,7.4816319694,6.8773423267,7.526084744,7.2207348745,6.3181947601,7.4692995505,6.4702451501,6.8636947623,7.6287911363,7.3435229502
"GPR172A",9.6128341874,9.6245694068,10.5346985422,10.468333567,10.4781831698,9.3401313363,10.0526379374,9.8440098799,10.1348073939,9.8882273903,10.7972944925,9.9268344546,10.1970053023,10.3700636789,9.9478838331,10.5658361796,10.5837897749,10.0695428225,9.7402519025,9.4010679067,10.1746955682,9.3635172294,10.0763336134,10.2863604472,9.8694853737,9.8588014208,9.5618477023,11.0976392226,10.0289320099,9.8523289262,9.8937917458
"VPS8",9.7483657454,10.6766278826,9.9922159691,10.3354502971,10.1270010221,10.2612893157,10.9136360483,9.9562465641,9.5954184139,10.4826931869,9.8792040514,10.2828518072,4.5420437525,10.9866705332,10.630317293,9.2477638533,3.9103117077,10.4088517401,9.5042789754,10.3840899712,10.0255020163,10.0130707941,10.0688747785,9.9042320294,10.931653406,9.4750674566,9.8036651827,10.2863604472,10.1631431272,10.8917341238,10.0497969553
"LOC389816",9.051428311,9.148816189,7.1471567318,8.17862492,7.265202302,8.2243575867,9.429742353,8.1799861777,5.737998833,6.254718019,6.5913088208,8.1669200542,8.5345278106,7.6031942944,9.0333778274,6.9179799417,8.417427794,8.3619779672,8.4267142623,8.3267901676,8.2992843668,8.6405718925,6.418672331,8.3308712452,8.3306958446,7.8854019618,7.3522955424,7.275128235,5.4319080712,7.1214193784,6.7579689258
"NPHS1",10.2564015479,9.9058911605,9.7629518986,9.1771334863,9.880439523,9.1043372915,10.0510960118,9.1738338962,9.4650527488,9.6162100902,10.1203667428,9.8184181642,8.7357883779,9.8483124055,9.9314251405,9.6700396898,9.6930739468,9.4615878881,9.3819471609,9.7848347776,10.0807534714,8.0579757456,9.364238398,8.1988238981,10.219270543,10.2677828721,9.9242540393,9.7900142146,10.3337365939,9.8995988321,10.0906267101
"C6orf138",3.727610631,4.2456596974,5.477503804,5.5132208127,4.6507733684,6.0860394231,3.8961152115,5.4701115649,4.3732267384,4.3706566288,4.2067661276,4.7289603004,5.1623275909,4.5489789017,4.3821623248,4.7819502215,3.9391499224,4.6771547978,5.5093915154,2.9093970096,5.338343563,5.4501697592,5.6744448173,3.8346857536,4.19936013,4.9767853741,3.6148453124,5.1739090181,4.7341513966,4.1966559356,4.2931460435
"UBE4B",2.9962816921,5.4013553262,2.4604042749,2.7284160682,2.8880958612,3.6844299539,4.643555734,3.7235035444,3.1256678861,5.6094860988,3.2958975931,5.3166261782,3.8970845552,5.264241323,5.6209061804,4.5108332651,4.3405191333,5.5822416637,3.5802742619,3.1381140144,3.0839454902,3.4612336552,5.0800484804,2.7416589315,4.6063119687,3.3759375466,4.6926954375,3.1316744506,3.1355662998,5.3818973651,3.5668609077
"TTC36",4.9569272786,7.1583597297,3.661507439,2.9631243684,3.5143569044,6.299859412,2.8425345184,5.1640679195,4.7883014908,6.8119822642,4.2602221877,5.8211491266,3.5412099857,7.085033227,4.2739970782,3.0382713771,3.8965450665,6.4167969531,2.8479634882,5.6139033169,3.4670372535,4.0291490143,3.4771287483,4.9829748966,5.9920277231,2.9029852631,5.4067761834,3.8129759254,4.8722005261,6.4551534965,4.825719138
"ARL15",6.1195244363,6.9718438206,7.1587164017,7.3051202553,7.9287532784,7.0579296087,7.8024524181,8.1437783157,7.9207849802,7.8083497985,7.6458735113,8.0242925217,5.7288342296,8.8482669142,6.9774576246,6.5833122809,6.0139040948,8.202024339,6.4572985428,8.4572593372,4.594854782,7.3060229548,7.4851301959,6.0073326634,7.6992605482,8.049142172,7.939125396,7.0391132616,7.912554601,7.5374807154,7.0335715759
"GLE1",6.8397531513,7.6756710871,8.1557373799,7.9465024013,7.6217792396,8.0848457067,8.578657377,7.4183573853,7.616874982,7.972152852,8.862087912,7.847363584,4.3671729184,7.8835459655,7.4423471641,7.5478836589,3.3345076339,7.7976717703,7.4878241405,8.1705007294,7.1899929744,7.3663376542,8.3186220793,8.0860129395,8.5041739875,8.3704704683,7.2677140423,8.3445212514,8.4994685783,7.6960854783,8.1899784661
"VPS24",5.6007008394,5.3230628186,6.1355173936,6.5787844071,5.7162860377,4.9869863934,5.1946351175,5.8452176534,6.3092372951,5.8307881247,5.4705698752,5.4190536181,6.718536207,6.5119320169,5.8688941185,5.8943745633,6.0740951978,5.5550407145,4.612501883,4.9757363333,6.2955523045,4.0906698469,5.6392949425,4.8526336524,5.3342404022,5.0293090668,5.6847869369,5.4526639242,6.4003541322,5.9641146167,5.9640054489
"DBNL",7.5964825293,7.9268255247,8.8123167133,8.9636700591,8.9865048319,5.7320035069,8.0042039121,8.2341852932,8.1874830419,8.2256017692,8.9475299735,8.5606077173,7.7042440708,8.6528311103,7.8429021033,8.0287035987,7.5023891002,7.6695234369,8.3237257361,7.3218409174,7.7624923956,7.8449592123,8.247166996,7.7790297857,7.5144471146,7.5753061746,7.551999878,9.1929909184,7.9349112079,8.0147036791,7.9192041794
"LOC728142",5.7349784001,6.0348014848,6.298474473,6.2962292716,6.2996884612,6.4572985428,6.5133042437,6.1638591964,6.7673947618,6.3160278229,6.8952854075,6.9327896445,6.0653731227,5.1491479341,6.271394635,6.8057968447,6.853660456,6.1338085189,6.2800417004,6.4267339646,6.4029001262,6.270865261,7.0272507618,5.9160228156,4.0536912098,6.5760062773,6.4736126213,6.4328330683,7.1448472855,5.6710507317,7.3747952968
"ITGA6",5.21592074,4.5494616193,5.9034391342,5.9696870046,5.2772565369,5.0336100121,6.2895693795,5.1640679195,6.0503876133,5.6699869508,5.3461578492,5.4046926243,5.6821804175,4.435508669,6.1171822874,6.2688051837,5.7781877856,5.5094840405,6.2010846962,4.9515263784,6.7921964775,5.7955434414,5.398525095,6.2309097695,6.001039297,5.928926914,5.7111423415,5.9320728098,5.7130906759,6.2003796448,5.3171135397
"WDR44",3.6301256158,3.026664439,4.4930019667,4.0106777941,3.8832637339,2.5472477419,4.7196187673,2.9279746483,2.5600763783,3.657747438,5.1908556217,3.23268225,6.6209309505,2.826960794,2.8744976172,4.2693948767,4.7803654453,3.5798443288,3.9698303925,2.6528859912,3.8816678586,3.8087164923,2.9020223283,5.1386657581,3.4158766841,4.0116401516,3.6652745776,6.9874650062,5.1205240095,3.8719443596,3.34760985
"ZNF45",9.8830022097,9.8765788965,8.4292610484,8.9514335066,8.6349940032,9.5558306344,9.944136096,9.4134604267,8.0254929622,8.6429909068,9.1457958937,9.9015387117,8.4164275348,8.8310871533,9.7736916244,8.0496365099,8.3970329132,9.2940418812,9.3455384876,9.8347331925,8.6272820617,9.8724438275,7.5484217988,10.9229111566,10.1592902581,9.876051322,9.4028421655,9.6414502802,7.6536991798,8.9852093102,7.7213704412
